Mod,Category,Status,Server_Status,Client_Package,Files,Last_Tested,URL,Notes
"Better McDonald's Mod","World Mods",failed,"Failed server boot","Not included",better_mcdonalds_mod-neoforge-5.0.1+26.1.1.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/better-mcdonalds-mod/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Initial boot failed because Balm was missing. Installed stable Balm 26.1.2.6 dependency, then row53_better_mcdonalds_with_balm crashed during registry init: NoSuchMethodError BMMAddItemModifier.codecStart. Moved tested mod and Balm to mods.failed/row53_better_mcdonalds."
"Earth Mobs","World Mods",failed,"Rejected: log error","Not included",earthmobsmod-26.1.2-29.1.0.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/earth-mobs/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Bagus Lib dependency was already installed. Server reached Done, but row69_earth_mobs logged ERROR parsing neoforge:loot_modifiers/global_loot_modifiers.json for earthmobsmod entries, so jar was moved to mods.failed/row69_earth_mobs."
Ecologics,"Test New Mods",failed,"Rejected: global loot modifier parse error","Not included",Ecologics-NeoFab-26.1.2-2.5.0.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/ecologics,"Boot test row127_ecologics reached Done but logged a real NeoForge global loot modifiers parse error for ecologics:music_disc_buried_treasure. Removed from active mods and quarantined. Retested latest compatible release. Rejected again: log contains ERROR parsing neoforge:loot_modifiers/global_loot_modifiers.json for ecologics:music_disc_buried_treasure. Jar quarantined under /var/minecraft_26.1.2/mods.failed/20260603_next_11_ecologics_retest."
"Everything Japanese","World Mods - Fix",failed,"Failed server boot","Not included",everythingjapanese-1.25.0-26.1.2-slim.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/everything-japanese/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Dependencies GeckoLib 5.5.1 and EverythingCore 6.0.0 resolved, then dedicated server crashed: NoClassDefFoundError net/minecraft/client/model/geom/builders/LayerDefinition. Moved tested jars to mods.failed/row38_everything_japanese."
"Fantasy's Furniture","Test New Mods",failed,"Rejected: registry crash","Not included",*.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/fantasys-furniture/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Base-only install still lacks furniture sets. Relaxed retry with all compatible set modules failed startup with Fantasy Furniture Bone registry errors and a secondary Dynamic Trees registry error. Entire retry group quarantined and not included."
"Fire Arrows Ignite Fire","Test New Mods",failed,"Rejected: log error","Not included","firearrows-neoforge-26.1.2-13.4.jar + deimos-26.1.2-neoforge-2.6.1.jar",2026-06-03,https://www.curseforge.com/minecraft/mc-mods/fire-arrows-start-fire/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Boot test row131_fire_arrows reached Done but logged a recipe parse failure involving invalid resource location '#minecraft:metal_nuggets ' with a trailing space. Removed from active mods and quarantined."
Friends&Foes,"World Mods",failed,"Rejected: log error","Not included",friendsandfoes-neoforge-4.0.26+mc26.1.2.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/friends-and-foes-forge/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Initial boot required Resourceful Lib. With Resourceful Lib installed, server reached Done but row81_friends_and_foes_with_resourceful_lib logged ERROR parsing neoforge:loot_modifiers/global_loot_modifiers.json for friendsandfoes entry. Moved jar to mods.failed/row81_friends_and_foes."
"Friends&Foes - Flowery Mooblooms","Test New Mods",failed,"Dependency rejected","Not included",,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/friends-and-foes-flowery-mooblooms-forge/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Skipped because required dependency Friends&Foes was already rejected earlier for a real NeoForge global loot modifiers parse error."
"Grimoire of Gaia","Test New Mods",failed,"Rejected: missing Patchouli dependency","Not included",GrimoireOfGaia4-26.1.2-7.0.0-alpha.2.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/grimoire-of-gaia/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Server reached Done but logged a real data parse error for grimoireofgaia:gaiapedia because patchouli:guide_book/component is unavailable. No config toggle found; quarantined and not included."
"Laser Bridges & Doors","Test New Mods",failed,"Rejected: log error","Not included","laserbridges-26.1.2-neoforge-5.4.jar + deimos-26.1.2-neoforge-2.6.1.jar",2026-06-03,https://www.curseforge.com/minecraft/mc-mods/laser-bridges-doors/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Boot test row168_laser_bridges reached Done but logged the same invalid recipe resource '#minecraft:metal_nuggets ' parse failure seen with Fire Arrows/Deimos. Removed from active mods and quarantined."
Maple,"Test New Mods",failed,"Rejected: data/loot parse errors","Not included",Maple-1.5.4-26.1.2-NeoForge.jar,2026-06-03,https://www.curseforge.com/minecraft/mc-mods/maple/files/all?page=1&pageSize=20&gameVersionTypeId=6,"TerraBlender fixed the previous missing-class crash, but row190_maple_relaxed logged missing tags, invalid recipes/advancements, and legacy Forge global_loot_modifiers parse errors. Quarantined and not included."
